IP地址,延遲(ms),速度(KB/s),丟包率,線路,節點,帶寬(Mbps),更新時間
104.17.146.159,55,647,0,移动,HKG,5,20260918_213101
104.17.148.89,55,647,0,移动,HKG,5,20260918_213101
104.17.146.146,56,647,0,移动,HKG,5,20260918_213101
104.17.148.191,56,647,0,移动,HKG,5,20260918_213101
104.17.157.224,61,648,0,移动,HKG,5,20260918_213101
172.64.153.200,64,647,0,三网,SIN,5,20260918_213101
172.64.153.51,71,647,0,三网,SIN,5,20260918_213101
172.64.153.232,97,647,0,三网,SIN,5,20260918_213101
172.64.153.143,106,647,0,三网,HKG,5,20260918_213101
172.64.153.250,106,647,0,三网,HKG,5,20260918_213101
104.17.136.50,130,647,0,联通,SJC,5,20260918_213101
104.17.136.202,134,647,0,联通,SJC,5,20260918_213101
104.17.136.197,136,647,0,联通,SJC,5,20260918_213101
104.17.136.237,143,647,0,联通,SJC,5,20260918_213101
104.17.136.79,144,645,0,联通,SJC,5,20260918_213101
172.64.79.6,173,645,0,电信,SJC,5,20260918_213101
172.64.79.236,173,645,0,电信,SJC,5,20260918_213101
172.64.79.115,173,645,0,电信,SJC,5,20260918_213101
172.64.189.218,184,645,0,电信,FRA,5,20260918_213101
162.159.233.225,225,645,0,电信,AMS,5,20260918_213101
