ip,delay,speed,loss,type,colo
104.17.209.151,54,647,0,移动,HKG
104.18.91.90,55,647,0,移动,HKG
104.18.120.106,200,645,0,移动,LAX
104.17.150.137,119,647,0,移动,HKG
104.17.182.213,50,647,0,移动,HKG
172.67.181.94,165,645,0,联通,SJC
172.66.171.171,134,645,0,联通,SJC
172.67.181.5,148,645,0,联通,SJC
104.20.35.63,137,647,0,联通,SJC
172.66.171.171,136,645,0,联通,SJC
104.17.228.250,134,645,0,电信,SJC
162.159.39.80,68,647,0,电信,NRT
104.19.231.112,169,645,0,电信,SJC
162.159.44.26,67,647,0,电信,NRT
162.159.38.226,67,647,0,电信,NRT
104.17.159.73,85,645,0,三网,HKG
173.245.58.83,93,647,0,三网,SIN
162.159.38.6,58,647,0,三网,NRT
162.159.38.3,70,647,0,三网,NRT
162.159.38.160,68,648,0,三网,NRT
